Hunt for the Wilderpeople,Adventure
Big Hero 6,Animation
Carrie,Drama
Iron Man 2,Action
Demolition,Comedy
Pandorum,Action
Olympus Has Fallen,Action
I Am Number Four,Action
Jagten,Drama
The Proposal,Comedy
Get Hard,Comedy
Just Go with It,Comedy
Revolutionary Road,Drama
The Town,Crime
The Boy,Horror
Denial,Biography
Predestination,Drama
Goosebumps,Adventure
Sherlock Holmes: A Game of Shadows,Action
Salt,Action
Enemy,Mystery
District 9,Action
The Other Guys,Action
American Gangster,Biography
Marie Antoinette,Biography
2012,Action
Harry Potter and the Half-Blood Prince,Adventure
Argo,Biography
Eddie the Eagle,Biography
The Lives of Others,Drama
Pet,Horror
Paint It Black,Drama
Macbeth,Drama
Forgetting Sarah Marshall,Comedy
The Giver,Drama
Triple 9,Action
Perfetti sconosciuti,Comedy
Angry Birds,Animation
Moonrise Kingdom,Adventure
Hairspray,Comedy
Safe Haven,Drama
Focus,Comedy
Ratatouille,Animation
Stake Land,Drama
The Book of Eli,Action
Cloverfield,Action
Point Break,Action
Under the Skin,Drama
I Am Legend,Drama
Men in Black 3,Action
Super 8,Mystery
Law Abiding Citizen,Crime
Up,Animation
Maze Runner: The Scorch Trials,Action
Carol,Drama
Imperium,Crime
Youth,Comedy
Mr. Nobody,Drama
City of Tiny Lights,Crime
Savages,Crime
(500) Days of Summer,Comedy
Movie 43,Comedy
Gravity,Drama
The Boy in the Striped Pyjamas,Drama
Shooter,Action
The Happening,Sci-Fi
Bone Tomahawk,Adventure
Magic Mike XXL,Comedy
Easy A,Comedy
Exodus: Gods and Kings,Action
Chappie,Action
The Hobbit: The Desolation of Smaug,Adventure
Half of a Yellow Sun,Drama
Anthropoid,Biography
The Counselor,Crime
Viking,Action
Whiskey Tango Foxtrot,Biography
Trust,Crime
Birth of the Dragon,Action
Elysium,Action
The Green Inferno,Adventure
Godzilla,Action
The Bourne Legacy,Action
A Good Year,Comedy
Friend Request,Horror
Deja Vu,Action
Lucy,Action
A Quiet Passion,Biography
Need for Speed,Action
Jack Reacher,Action
The Do-Over,Action
True Crimes,Crime
American Pastoral,Crime
The Ghost Writer,Mystery
Limitless,Mystery
Spectral,Action
P.S. I Love You,Drama
Zipper,Drama
Midnight Special,Drama
Don't Think Twice,Comedy
Alice in Wonderland,Adventure
Chuck,Biography
I, Daniel Blake
The Break-Up,Comedy
Loving,Biography
Fantastic Four,Action
The Survivalist,Drama
Colonia,Drama
The Boy Next Door,Mystery
The Gift,Mystery
Dracula Untold,Action
In the Heart of the Sea,Action
Idiocracy,Adventure
The Expendables,Action
Evil Dead,Fantasy
Sinister,Horror
Wreck-It Ralph,Animation
Snow White and the Huntsman,Action
Pan,Adventure
Transformers: Dark of the Moon,Action
Juno,Comedy
A Hologram for the King,Comedy
Money Monster,Crime
The Other Woman,Comedy
Enchanted,Animation
The Intern,Comedy
Little Miss Sunshine,Comedy
Bleed for This,Biography
Clash of the Titans,Action
The Finest Hours,Action
Tron,Action
The Hunger Games: Catching Fire,Action
All Good Things,Crime
Kickboxer: Vengeance,Action
The Last Airbender,Action
Sex Tape,Comedy
What to Expect When You're Expecting,Comedy
Moneyball,Biography
Ghost Rider,Action
Unbroken,Biography
Immortals,Action
Sunshine,Adventure
Brave,Animation
Män som hatar kvinnor,Drama
Adoration,Drama
The Drop,Crime
She's the Man,Comedy
Daddy's Home,Comedy
Let Me In,Drama
Never Back Down,Action
Grimsby,Action
Moon,Drama
Megamind,Animation
Gangster Squad,Action
Blood Father,Action
He's Just Not That Into You,Comedy
Kung Fu Panda 3,Animation
The Rise of the Krays,Crime
Handsome Devil,Drama
Winter's Bone,Drama
Horrible Bosses,Comedy
Mommy,Drama
Hellboy II: The Golden Army,Action
Beautiful Creatures,Drama
Toni Erdmann,Comedy
The Lovely Bones,Drama
