t_const,season_num,episode_num
tt0165593,4,8
tt0958966,1,4
tt0958966,1,8
tt0063927,1,0
tt0065317,1,0
tt1601979,1,5
tt0297621,1,15
tt0958966,1,11
tt0046593,16,2
tt0065327,1,0
tt0398430,3,2
tt0212699,4,34
tt0212699,4,26
tt0297621,1,30
tt1601979,1,4
tt0058853,1,142
tt0058836,3,5
tt0058853,1,144
tt0212699,5,11
tt1245421,NULL,NULL
tt0058836,3,11
tt0242211,8,1
tt0063955,1,0
tt0165593,5,4
tt0914702,12,13
tt0063928,1,0
tt1157603,1,5
tt1601979,1,7
tt0063873,1,0
tt0065357,1,0
tt0066625,1,1
tt0958966,2,11
tt0165592,1,4
tt0212699,5,32
tt1685416,1,10
tt0958966,2,7
tt0200358,3,22
tt1342999,1,1
tt0165592,1,7
tt1685416,1,2
tt0058853,1,170
tt1415092,4,3
tt0165593,6,4
tt0958966,2,13
tt0797756,1,6
tt0797756,1,8
tt0297621,3,30
tt0165592,1,8
tt0212699,5,34
tt0165593,5,7
tt0058853,1,160
tt0212699,5,27
tt0958966,2,2
tt1685416,1,8
tt1342999,1,2
tt0297621,2,36
tt0212699,5,17
tt0165592,1,3
tt0066681,1,0
tt1685416,1,1
tt0165593,6,1
tt1077047,1,1
tt0958966,2,6
tt0066631,1,0
tt0066705,1,0
tt0797756,1,7
tt0212699,6,1
tt0958966,2,3
tt0165592,1,16
tt0058853,1,161
tt0165593,5,8
tt0165593,6,2
tt0065343,1,0
tt0066708,1,0
tt0797756,1,9
tt0058853,1,159
tt0165593,5,6
tt0058853,1,169
tt0806910,1,2
tt0806910,1,1
tt1685416,1,12
tt0165593,6,3
tt1157603,1,6
tt0055701,6,15
tt0958966,2,5
tt0958966,2,9
tt0165593,6,7
tt0212699,6,2
tt0165593,6,5
tt0165592,1,11
tt0212699,6,33
tt0212699,6,20
tt0068045,1,0
tt0212699,6,14
tt0165593,6,6
tt0165593,7,4
tt0058836,4,9
tt1466074,1,3
tt1466074,1,1
tt1466074,1,0
tt1466074,1,4
tt6074004,1,2
tt0058836,4,4
tt0927036,1,1
tt0165593,6,8
tt0068067,1,0
tt0165592,2,3
tt0165592,1,23
tt0212699,6,15
tt0935096,NULL,NULL
tt0797756,1,11
tt0165592,1,18
tt0212699,7,6
tt0068077,1,1
tt0165592,1,13
tt0159876,1,10
tt0068149,1,0
tt0212699,7,11
tt0065349,2,12
tt0212699,6,28
tt0212699,5,30
tt0065349,2,11
tt0165592,1,22
tt0165592,2,6
tt0165593,7,1
tt0806910,1,12
tt0066693,1,0
tt0165592,2,4
tt0066685,1,0
tt0165592,1,20
tt0066696,1,0
tt0297621,3,22
tt0165593,6,9
tt0806901,1,1
tt0297621,3,16
tt0061266,5,1
tt0212699,6,19
tt0165593,7,2
tt0806910,1,11
tt0212699,6,30
tt2162303,NULL,NULL
tt0165592,2,7
tt0165593,7,3
tt0806910,1,10
tt0806910,1,8
tt0806910,1,6
tt0806910,1,5
tt0806910,1,3
tt0806910,1,129
tt0212699,6,16
tt0797756,1,10
tt0165592,2,1
tt0165593,7,9
tt0058836,4,10
tt1157603,1,7
tt0165592,1,19
tt0212699,7,20
tt0212699,8,5
tt0068527,1,5
tt0068044,1,0
tt0165592,3,8
tt0212699,7,33
tt0849411,NULL,NULL
tt0212699,8,17
tt1466074,1,7
tt1466074,2,4
tt1466074,1,2
tt1466074,2,1
tt1466074,1,5
tt1466074,1,6
tt1466074,2,2
tt1466074,2,3
tt0068527,1,4
