tconst,numVotes,averageRating
tt0000767,5,7.2
tt0000769,80,5.2
tt0000770,62,5.9
tt0000771,8,6.1
tt0000772,5,6.8
tt0000775,6,7.5
tt0000776,16,4.8
tt0000781,7,6.3
tt0000782,14,7.8
tt0000785,19,5.8
tt0000787,6,5.8
tt0000789,12,5.3
tt0000790,203,6.2
tt0000792,14,4.9
tt0000793,5,4.8
tt0000797,57,5.4
tt0000798,6,4.2
tt0000800,19,5.4
tt0000801,12,5.2
tt0000807,11,4.9
tt0000809,20,6.3
tt0000815,11,4.9
tt0000816,40,4.8
tt0000817,9,3.2
tt0000819,11,5.4
tt0000821,30,4.8
tt0000823,10,4.4
tt0000825,9,4.7
tt0000826,9,4.7
tt0000827,11,5.2
tt0000828,35,5.2
tt0000829,11,4.5
tt0000831,47,5.1
tt0000832,1648,6.7
tt0000833,373,6.5
tt0000835,61,5
tt0000836,26,4.7
tt0000837,8,5
tt0000840,192,5.6
tt0000841,10,5.7
tt0000843,8,5.8
tt0000844,7,7.4
tt0000845,8,4.9
tt0000847,8,5.9
tt0000848,11,5.7
tt0000851,7,5.3
tt0000852,95,5.8
tt0000853,7,5.7
tt0000854,257,6
tt0000855,7,5.7
tt0000857,6,5.2
tt0000858,6,5.2
tt0000860,9,5.3
tt0000861,10,5.3
tt0000862,7,5
tt0000864,9,6
tt0000866,5,6.6
tt0000870,11,5.3
tt0000871,35,5.6
tt0000873,6,5.8
tt0000874,8,5.1
tt0000875,7,4.7
tt0000877,23,5
tt0000878,88,4.8
tt0000880,25,6.2
tt0000882,106,5.8
tt0000884,6,3.5
tt0000886,13,5.3
tt0000887,14,4.6
tt0000890,11,7.3
tt0000891,15,5.4
tt0000892,26,5.7
tt0000893,8,7.6
tt0000895,88,5.7
tt0000897,5,7.2
tt0000904,66,5.3
tt0000908,5,6
tt0000910,5,5.4
tt0000911,6,3.2
tt0000912,20,4.5
tt0000916,34,6.6
tt0000921,5,6.4
tt0000922,47,5.8
tt0000924,92,6.3
tt0000928,50,5.6
tt0000929,29,5.5
tt0000930,5,4.6
tt0000932,5,3.2
tt0000933,16,5.1
tt0000935,30,5.8
tt0000936,12,7.8
tt0000938,105,4.3
tt0000939,5,4.6
