n_const,first_name,last_name,birth_year,death_year
nm0000387,Robert,Englund,1947,NULL
nm0000388,R.Lee,Ermey,1944,NULL
nm0000389,Emilio,Estevez,1962,NULL
nm0000390,Joe,Eszterhas,1944,NULL
nm0000391,Rupert,Everett,1959,NULL
nm0000392,Morgan,Fairchild,1950,NULL
nm0000393,Peter,Falk,1927,2011
nm0000394,Chris,Farley,1964,1997
nm0000395,Terry,Farrell,1963,NULL
nm0000396,Farrah,Fawcett,1947,2009
nm0000397,Corey,Feldman,1971,NULL
nm0000398,Sally,Field,1946,NULL
nm0000399,David,Fincher,1962,NULL
nm0000400,Linda,Fiorentino,1958,NULL
nm0000401,Laurence,Fishburne,1961,NULL
nm0000402,Carrie,Fisher,1956,2016
nm0000403,Bridget,Fonda,1964,NULL
nm0000404,Jane,Fonda,1937,NULL
nm0000405,Michelle,Forbes,1965,NULL
nm0000406,John,Ford,1894,1973
nm0000407,Vivica,A.Fox,1964,NULL
nm0000408,Jonathan,Frakes,1952,NULL
nm0000409,Brendan,Fraser,1968,NULL
nm0000410,Stephen,Fry,1957,NULL
nm0000411,Edward,Furlong,1977,NULL
nm0000412,Andy,Garcia,1956,NULL
nm0000413,Janeane,Garofalo,1964,NULL
nm0000414,Teri,Garr,1947,NULL
nm0000415,Jami,Gertz,1965,NULL
nm0000416,Terry,Gilliam,1940,NULL
nm0000417,Crispin,Glover,1964,NULL
nm0000418,Danny,Glover,1946,NULL
nm0000419,Jean-Luc,Godard,1930,NULL
nm0000420,Valeria,Golino,1965,NULL
nm0000421,Cuba,Gooding,1968,NULL
nm0000422,John,Goodman,1952,NULL
nm0000423,Serena,Grandi,1958,NULL
nm0000424,Hugh,Grant,1960,NULL
nm0000425,Peter,Greenaway,1942,NULL
nm0000426,Jennifer,Grey,1960,NULL
nm0000427,Pam,Grier,1949,NULL
nm0000428,D.W.Griffith,,1875,1948
nm0000429,Melanie,Griffith,1957,NULL
nm0000430,Steve,Guttenberg,1958,NULL
nm0000431,Taylor,Hackford,1944,NULL
nm0000432,Gene,Hackman,1930,NULL
nm0000433,Corey,Haim,1971,2010
